dia,fecha,tipo_conteo,lat,long,interseccion,tiempo,volumen_cruce_debido_peatones_x_hora,volumen_cruce_indebido_peatones_x_hora
Martes,2018-10-02,Volumen peatonal - Registro de trayectoria,-34.5927222222222,-58.3754166666667,Juncal y Maipú,30 min,3020,436
Lunes,2017-11-06,Volumen peatonal - Registro de trayectoria,-34.6306944444444,-58.4696666666667,Av. Rivadavia y Nazca/San Pedrito,30 min,1808,360
Lunes,2017-11-06,Volumen peatonal - Registro de trayectoria,-34.62925,-58.4641111111111,Av. Rivadavia y Artigas/Pedernera,30 min,1680,488
Martes,2017-11-07,Volumen peatonal - Registro de trayectoria,-34.6306944444444,-58.4696666666667,Av. Rivadavia y Nazca/San Pedrito,30 min,1344,434
Martes,2017-11-07,Volumen peatonal - Registro de trayectoria,-34.62925,-58.4641111111111,Av. Rivadavia y Artigas/Pedernera,30 min,1772,655
Martes,2017-11-21,Volumen peatonal - Registro de trayectoria,-34.6306944444444,-58.4696666666667,Av. Rivadavia y Nazca/San Pedrito,30 min,1758,246
Martes,2017-11-21,Volumen peatonal - Registro de trayectoria,-34.62925,-58.4641111111111,Av. Rivadavia y Artigas/Pedernera,30 min,1521,393
Martes,2017-12-05,Volumen peatonal - Registro de trayectoria,-34.6306944444444,-58.4696666666667,Av. Rivadavia y Nazca/San Pedrito,30 min,1977,666
Martes,2017-12-05,Volumen peatonal - Registro de trayectoria,-34.62925,-58.4641111111111,Av. Rivadavia y Artigas/Pedernera,30 min,1585,396
Juves,2019-04-25,Volumen peatonal - Registro de trayectoria,-34.5388611111111,-58.4758888888889,Av. Cabildo/Maipú y Gral. Paz,60 min,1928,504
Martes,2019-08-13,Volumen peatonal - Registro de trayectoria,-34.5984166666667,-58.37125,Av. Alem y Córdoba,15 min ,1396,256
Miércoles,2019-08-14,Volumen peatonal - Registro de trayectoria,-34.5984166666667,-58.37125,Av. Alem y Córdoba,15 min ,3257,171
Martes,2019-08-13,Volumen peatonal - Registro de trayectoria,-34.5995,-58.3708055555556,Av. Alem y Viamonte,15 min ,584,43
Miércoles,2019-08-14,Volumen peatonal - Registro de trayectoria,-34.5995,-58.3708055555556,Av. Alem y Viamonte,15 min ,1668,144
